sim_time,unit_id,x,y,battery,state
0.1,U01,72.816,23.563,99.93,patrullando
0.1,U02,2.786,-74.836,99.96,patrullando
0.1,U03,122.746,-15.34,99.94,patrullando
0.2,U01,76.517,29.513,99.85,patrullando
0.2,U02,1.058,-72.312,99.91,patrullando
0.2,U03,120.015,-19.84,99.88,patrullando
0.3,U01,80.218,35.462,99.78,patrullando
0.3,U02,-0.671,-69.789,99.87,patrullando
0.3,U03,117.284,-24.34,99.82,patrullando
0.4,U01,83.919,41.412,99.71,patrullando
0.4,U02,-2.399,-67.265,99.83,patrullando
0.4,U03,114.553,-28.84,99.76,patrullando
0.5,U01,87.619,47.361,99.63,patrullando
0.5,U02,-4.128,-64.742,99.79,patrullando
0.5,U03,111.822,-33.339,99.7,patrullando
0.6,U01,91.32,53.311,99.56,patrullando
0.6,U02,-5.856,-62.218,99.74,patrullando
0.6,U03,109.091,-37.839,99.64,patrullando
0.7,U01,95.021,59.261,99.49,patrullando
0.7,U02,-7.584,-59.695,99.7,patrullando
0.7,U03,106.361,-42.339,99.58,patrullando
0.8,U01,98.721,65.21,99.41,patrullando
0.8,U02,-9.313,-57.172,99.66,patrullando
0.8,U03,103.63,-46.839,99.52,patrullando
0.9,U01,102.422,71.16,99.34,patrullando
0.9,U02,-11.041,-54.648,99.62,patrullando
0.9,U03,100.899,-51.339,99.46,patrullando
1.0,U01,106.123,77.109,99.26,patrullando
1.0,U02,-12.77,-52.125,99.57,patrullando
1.0,U03,98.168,-55.839,99.4,patrullando
1.1,U01,109.823,83.059,99.19,patrullando
1.1,U02,-14.498,-49.601,99.53,patrullando
1.1,U03,95.437,-60.339,99.33,patrullando
1.2,U01,113.524,89.008,99.12,patrullando
1.2,U02,-16.227,-47.078,99.49,patrullando
1.2,U03,92.706,-64.839,99.27,patrullando
1.3,U01,116.953,94.521,99.04,patrullando
1.3,U02,-17.955,-44.554,99.44,patrullando
1.3,U03,89.975,-69.339,99.21,patrullando
1.4,U01,120.091,99.566,98.97,patrullando
1.4,U02,-19.684,-42.031,99.4,patrullando
1.4,U03,87.244,-73.839,99.15,patrullando
1.5,U01,122.962,104.181,98.9,patrullando
1.5,U02,-21.412,-39.507,99.36,patrullando
1.5,U03,84.513,-78.339,99.09,patrullando
1.6,U01,125.589,108.404,98.82,patrullando
1.6,U02,-23.141,-36.984,99.32,patrullando
1.6,U03,81.782,-82.839,99.03,patrullando
1.7,U01,127.992,112.269,98.75,patrullando
1.7,U02,-24.869,-34.46,99.27,patrullando
1.7,U03,79.051,-87.339,98.97,patrullando
1.8,U01,130.192,115.805,98.68,patrullando
1.8,U02,-26.598,-31.937,99.23,patrullando
1.8,U03,76.321,-91.839,98.91,patrullando
1.9,U01,132.204,119.04,98.6,patrullando
1.9,U02,-28.326,-29.413,99.19,patrullando
1.9,U03,73.59,-96.339,98.85,patrullando
2.0,U01,134.045,122.0,98.53,patrullando
2.0,U02,-30.055,-26.89,99.15,patrullando
2.0,U03,70.859,-100.839,98.79,patrullando
2.1,U01,135.73,124.709,98.46,patrullando
2.1,U02,-31.783,-24.367,99.1,patrullando
2.1,U03,68.128,-105.339,98.73,patrullando
2.2,U01,137.272,127.187,98.38,patrullando
2.2,U02,-33.512,-21.843,99.06,patrullando
2.2,U03,65.397,-109.839,98.67,patrullando
2.3,U01,138.682,129.455,98.31,patrullando
2.3,U02,-35.24,-19.32,99.02,patrullando
2.3,U03,62.666,-114.339,98.61,patrullando
2.4,U01,139.973,131.53,98.23,patrullando
